recall,prec,specificity,accuracy,AUC,run time(s),F1 score,no_trees,dataset
0.9199999999999999,0.92728,0.96,0.94668,0.91966,0.6648351192474365,0.9400000000000001,20,iris
0.96,0.9004999999999999,0.9400000000000001,0.94666,0.9252,0.0463101863861084,0.95,2,iris
0.9,0.9800000000000001,0.99,0.95998,0.93556,0.14906396865844726,0.945,5,iris
0.96,0.8921199999999999,0.9399999999999998,0.94666,0.9237399999999999,0.3230419635772705,0.95,10,iris
0.9400000000000001,0.9284800000000001,0.96,0.9533400000000001,0.93126,0.671712064743042,0.95,20,iris
0.9800000000000001,0.9103,0.95,0.96,0.9427800000000002,0.04596157073974609,0.9650000000000001,2,iris
0.5,0.9199999999999999,0.9800000000000001,0.8200000000000001,0.63342,0.1538328170776367,0.74,5,iris
0.9400000000000001,0.9818200000000001,0.99,0.97334,0.95774,0.3232407093048096,0.9650000000000001,10,iris
0.9400000000000001,0.9414200000000001,0.97,0.96,0.93986,0.6705950260162353,0.9550000000000001,20,iris
0.9800000000000001,0.9174800000000001,0.95,0.9600200000000001,0.9443400000000001,0.04513030052185059,0.9649999999999999,2,iris
0.9400000000000001,0.92546,0.96,0.9533400000000001,0.9314,0.15387039184570311,0.95,5,iris
0.9399999999999998,0.92142,0.96,0.9533400000000001,0.9293800000000001,0.3186063289642334,0.95,10,iris
0.96,0.91364,0.95,0.9533400000000001,0.9350799999999999,0.6683764934539795,0.9550000000000001,20,iris
0.22000000000000003,0.6599999999999999,0.97,0.7200200000000001,0.32276000000000005,0.04645042419433594,0.595,2,iris
0.96,0.92364,0.96,0.96,0.9409599999999999,0.1523770809173584,0.96,5,iris
0.9,0.9777799999999999,0.99,0.96,0.93568,0.323210620880127,0.945,10,iris
0.9399999999999998,0.96182,0.9800000000000001,0.9666799999999999,0.9494399999999998,0.6707240581512451,0.96,20,iris
0.96,0.9151400000000001,0.95,0.9533400000000001,0.93308,0.049037742614746097,0.9549999999999998,2,iris
0.8800000000000001,0.9800000000000001,0.99,0.9533200000000001,0.9250399999999999,0.15040802955627441,0.9349999999999999,5,iris
0.96,0.9151400000000001,0.95,0.9533400000000001,0.93308,0.32221293449401855,0.9550000000000001,10,iris
0.96,0.9103,0.95,0.9533400000000001,0.93226,0.66896653175354,0.9550000000000001,20,iris
0.96,0.92546,0.96,0.96,0.94192,0.048507165908813474,0.96,2,iris
0.7600000000000001,0.95278,0.9800000000000001,0.90668,0.84124,0.1508873462677002,0.8699999999999999,5,iris
0.96,0.90506,0.95,0.95336,0.93034,0.3211045742034912,0.9550000000000001,10,iris
0.96,0.9333199999999999,0.96,0.96,0.9426,0.6681507587432861,0.96,20,iris
0.8,0.51574,0.6199999999999999,0.6799999999999999,0.62556,0.04709024429321289,0.7100000000000001,2,iris
0.9199999999999999,0.9436399999999999,0.9700000000000001,0.9533400000000001,0.92566,0.15241789817810059,0.945,5,iris
0.96,0.92546,0.96,0.9600199999999999,0.94092,0.32669715881347655,0.96,10,iris
0.9399999999999998,0.9436399999999999,0.97,0.96,0.9409199999999999,0.7025420188903808,0.9549999999999998,20,iris
0.7599999999999999,0.8226600000000002,0.9099999999999999,0.8600000000000001,0.7816799999999999,0.04761967658996582,0.835,2,iris
0.8400000000000001,0.9800000000000001,0.99,0.9399799999999999,0.90282,0.150754976272583,0.915,5,iris
0.96,0.91212,0.95,0.9533400000000001,0.9310400000000001,0.3266038417816162,0.9549999999999998,10,iris
0.9,0.9818200000000001,0.99,0.96,0.93552,0.6696955680847168,0.9450000000000001,20,iris
0.8800000000000001,0.9777799999999999,0.99,0.9533400000000001,0.9225999999999999,0.04688749313354492,0.9349999999999999,2,iris
0.8800000000000001,1.0,1.0,0.9600200000000001,0.9331400000000001,0.15312161445617675,0.9400000000000001,5,iris
0.96,0.90546,0.95,0.9533400000000001,0.93144,0.32330737113952634,0.9549999999999998,10,iris
0.8800000000000001,0.96,0.9800000000000001,0.94666,0.9167400000000001,0.6678224086761475,0.9299999999999999,20,iris
0.76,0.81728,0.9099999999999999,0.8600000000000001,0.7844599999999999,0.04760141372680664,0.8350000000000002,2,iris
0.9800000000000001,0.8954599999999999,0.9399999999999998,0.95336,0.9350799999999999,0.1521753787994385,0.9600000000000002,5,iris
0.9,0.9800000000000001,0.99,0.96,0.93674,0.32451906204223635,0.945,10,iris
0.96,0.94364,0.97,0.9666799999999999,0.9504400000000001,0.6710763454437256,0.9650000000000001,20,iris
0.96,0.8951399999999999,0.9399999999999998,0.94666,0.9236000000000001,0.046087646484375,0.95,2,iris
0.8800000000000001,0.9818200000000001,0.99,0.9533400000000001,0.9224399999999999,0.14976129531860352,0.9349999999999999,5,iris
0.9199999999999999,0.9418200000000001,0.97,0.9533400000000001,0.9282600000000001,0.328568172454834,0.9450000000000001,10,iris
0.96,0.9303000000000001,0.96,0.96,0.94056,0.6675072193145752,0.96,20,iris
0.96,0.90952,0.9400000000000001,0.9466800000000001,0.92744,0.046403694152832034,0.95,2,iris
0.96,0.89998,0.9400000000000001,0.94664,0.9232400000000001,0.1493156909942627,0.95,5,iris
0.96,0.96182,0.9800000000000001,0.97334,0.95996,0.32233080863952634,0.97,10,iris
