recall,prec,specificity,accuracy,AUC,run time(s),F1 score,depth,dataset
0.8621399999999999,0.88856,0.9333400000000001,0.91014,0.86004,0.25081820487976075,0.8977272727272727,1,wine
0.95002,0.97142,0.9833400000000001,0.9722,0.95852,0.3546170711517334,0.9666666666666666,2,wine
0.9333400000000001,0.9023599999999998,0.94962,0.9441200000000001,0.9165599999999999,0.5353455543518066,0.9414855072463769,4,wine
0.88032,0.8775000000000001,0.93298,0.91568,0.87402,0.8935269355773926,0.906637022397892,8,wine
0.9303000000000001,0.86324,0.9166599999999999,0.92158,0.88774,0.250352668762207,0.9234848484848486,1,wine
0.8636600000000001,0.92142,0.95726,0.9261199999999998,0.8837399999999999,0.3528315544128418,0.9104413702239789,2,wine
0.91364,0.9097799999999999,0.94998,0.9382400000000001,0.9070400000000001,0.5405483722686768,0.9318181818181819,4,wine
0.88032,0.8763799999999999,0.9333400000000001,0.91602,0.87522,0.8870043277740478,0.9068181818181819,8,wine
0.8939600000000001,0.8588999999999999,0.9166599999999999,0.9098200000000001,0.8637799999999999,0.24809393882751465,0.9053030303030303,1,wine
0.8666599999999999,0.92628,0.9666599999999999,0.9333199999999999,0.88996,0.3608578681945801,0.9166666666666667,2,wine
0.9469799999999999,0.9261800000000001,0.9583400000000001,0.95488,0.9325800000000001,0.5659650325775146,0.952651515151515,4,wine
0.88332,0.86204,0.9238999999999999,0.91014,0.8677400000000001,0.8950429916381836,0.9036231884057973,8,wine
0.82728,0.90176,0.9416599999999999,0.9042600000000001,0.84192,0.24971628189086914,0.884469696969697,1,wine
0.88182,0.92666,0.96668,0.9385600000000001,0.9026,0.3583585262298584,0.9242424242424242,2,wine
0.91516,0.9,0.9416599999999999,0.933,0.9032,0.594261646270752,0.928409090909091,4,wine
0.8985,0.9300799999999999,0.9663,0.94378,0.9129400000000001,0.8484980583190918,0.9323945981554678,8,wine
0.78826,0.9080400000000001,0.94946,0.8893800000000001,0.8398999999999999,2.919713354110718,0.8688763719266503,1,cancer
0.8868199999999999,0.9245199999999999,0.9551000000000001,0.9296599999999999,0.9040999999999999,3.9249882221221926,0.9209734505222551,2,cancer
0.92006,0.9157200000000001,0.94954,0.93854,0.9177200000000001,5.89580888748169,0.9348069684255403,4,cancer
0.8916999999999999,0.88658,0.9301,0.91584,0.8879000000000001,9.248079967498779,0.9109097738888108,8,cancer
0.8065199999999999,0.9103,0.95236,0.8980599999999999,0.85472,2.847649097442627,0.8794601588861333,1,cancer
0.86372,0.9062800000000001,0.94686,0.9158799999999999,0.8842000000000001,3.91087064743042,0.9052733714951205,2,cancer
0.9200600000000001,0.8886399999999999,0.92996,0.9262599999999999,0.9020800000000001,5.860993909835815,0.9250064989419722,4,cancer
0.9010200000000002,0.8939999999999999,0.9355399999999999,0.92264,0.89674,9.486897373199463,0.9182604671959405,8,cancer
0.7974399999999999,0.9311,0.9634599999999999,0.9015599999999999,0.85778,2.865703058242798,0.8804557318068618,1,cancer
0.8865000000000001,0.90602,0.9412200000000001,0.92088,0.8931799999999999,3.917237663269043,0.9138628931209999,2,cancer
0.91984,0.8972999999999999,0.9356,0.9297600000000001,0.9075200000000001,5.905012893676758,0.9277126583792157,4,cancer
0.8776400000000001,0.89042,0.93574,0.9141,0.88354,9.169602489471435,0.9066749983102751,8,cancer
0.80564,0.90152,0.9414200000000001,0.8909800000000001,0.84374,2.857338571548462,0.8735398827070953,1,cancer
0.8958,0.8961400000000002,0.9328799999999999,0.91912,0.8927800000000001,3.8960825920104982,0.9143473892450309,2,cancer
0.8867200000000001,0.8985799999999999,0.9381799999999998,0.9189999999999999,0.89132,5.883381700515747,0.9124478134959629,4,cancer
0.8916000000000001,0.88398,0.9301,0.91576,0.8875399999999999,9.285640525817872,0.9108348410878708,8,cancer
0.80188,0.9148999999999999,0.95516,0.8980600000000001,0.8538599999999998,2.8573246955871583,0.8785234663796734,1,cancer
0.9061,0.8873000000000001,0.9299199999999999,0.9210200000000001,0.8953200000000001,3.9216150283813476,0.9180101929405893,2,cancer
0.90578,0.9129200000000001,0.9467599999999999,0.9314600000000001,0.90818,5.917221307754517,0.9262556605784578,4,cancer
0.8484999999999999,0.8798999999999999,0.92996,0.8996799999999998,0.86236,9.3873779296875,0.889236842242083,8,cancer
0.8297800000000001,0.90858,0.9469200000000001,0.9033800000000001,0.86466,2.8513907909393312,0.8883689735311091,1,cancer
0.89612,0.8922000000000001,0.9328,0.9191199999999998,0.8918200000000001,3.8891446113586428,0.9144548167558322,2,cancer
0.92448,0.91206,0.9439,0.9366399999999999,0.91608,5.8634744644165036,0.9341853446258949,4,cancer
0.88706,0.8890600000000001,0.9327,0.9156599999999999,0.8869400000000001,9.208962869644164,0.9098752723056686,8,cancer
0.8072000000000001,0.91136,0.9494399999999998,0.8964000000000001,0.8517800000000001,2.85068564414978,0.8783252486495199,1,cancer
0.9057600000000001,0.88506,0.9271199999999998,0.91912,0.8925000000000001,3.900786304473877,0.9164356292795534,2,cancer
0.8913800000000001,0.8829,0.92734,0.9139799999999999,0.8859199999999999,5.923328304290772,0.9093547720431114,4,cancer
0.9242800000000001,0.87894,0.9218,0.9227599999999999,0.8996999999999999,9.337537288665771,0.9230221769895861,8,cancer
0.77374,0.9027999999999998,0.9494999999999999,0.88404,0.83234,2.861319160461426,0.8616423346279225,1,cancer
0.8966800000000001,0.86528,0.91616,0.90892,0.8798999999999999,3.8997459411621094,0.906417900165853,2,cancer
0.9244999999999999,0.88588,0.92714,0.92616,0.90358,5.872826385498047,0.9258128876618885,4,cancer
0.90044,0.88506,0.92988,0.9189400000000001,0.8916799999999998,9.406214380264283,0.9151667108594722,8,cancer
0.7920200000000001,0.93082,0.9553799999999999,0.89462,0.84886,2.862824487686157,0.8737128195529766,1,cancer
0.9051,0.9015000000000001,0.9384,0.92608,0.9008,3.8982545852661135,0.9217567679981699,2,cancer
0.9241400000000001,0.9042600000000001,0.94106,0.9348000000000001,0.9134399999999999,5.913814496994019,0.932610780964859,4,cancer
0.8968,0.8762599999999999,0.9244,0.9140599999999999,0.8854199999999999,9.48546347618103,0.9105812523721137,8,cancer
0.8303200000000001,0.86706,0.9216199999999999,0.88764,0.84672,2.8563952922821043,0.8759893339364353,1,cancer
0.89612,0.9051400000000001,0.9440799999999999,0.9262799999999999,0.90022,3.8907988548278807,0.92010818138807,2,cancer
0.8916000000000001,0.9336,0.96068,0.93492,0.9112600000000001,5.881256198883056,0.9261321806809851,4,cancer
0.8820400000000002,0.89398,0.9328199999999999,0.91394,0.88378,9.389359426498412,0.9074422633995185,8,cancer
